kind,match_id,outcome,date,label,selection,verdict,score,model_prob,market_implied,edge,ev,decimal_odds,stake_usd,why,cautions,stake_raw_usd
match,8,home,2026-06-13,Australia vs Turkey,Australia (home),BET,8.0,0.3974,0.1862,0.2112,0.987,5.0,11.28,"model 40% vs market fair 19% = +21.1pp edge, EV +0.99/$1 at 5.00 | line moved TOWARD model since open (4.70→5.00) — sharp money on our side of the number",coin-flip match (entropy 1.57 bits) — stake halved,25.0
match,43,away,2026-06-22,Norway vs Senegal,Senegal (away),BET,8.0,0.4299,0.2822,0.1477,0.4617,3.4,10.86,"model 43% vs market fair 28% = +14.8pp edge, EV +0.46/$1 at 3.40 | line moved TOWARD model since open (3.60→3.40) — sharp money on our side of the number",coin-flip match (entropy 1.56 bits) — stake halved,24.05
match,16,away,2026-06-15,Iran vs New Zealand,New Zealand (away),BET,8.0,0.3077,0.1996,0.1081,0.4462,4.7,13.61,"model 31% vs market fair 20% = +10.8pp edge, EV +0.45/$1 at 4.70 | line moved TOWARD model since open (4.50→4.70) — sharp money on our side of the number",,30.15
match,10,away,2026-06-14,Netherlands vs Japan,Japan (away),BET,8.0,0.3748,0.2515,0.1233,0.368,3.65,7.84,"model 37% vs market fair 25% = +12.3pp edge, EV +0.37/$1 at 3.65 | line moved TOWARD model since open (3.80→3.65) — sharp money on our side of the number",coin-flip match (entropy 1.56 bits) — stake halved,17.36
match,30,away,2026-06-19,Scotland vs Morocco,Morocco (away),BET,7.48,0.5406,0.4826,0.058,0.0812,2.0,9.16,"model 54% vs market fair 48% = +5.8pp edge, EV +0.08/$1 at 2.00 | favorite side — the zone where the model is most trustworthy | line moved TOWARD model since open (2.10→2.00) — sharp money on our side of the number",,20.3
match,36,away,2026-06-20,Tunisia vs Japan,Japan (away),BET,7.23,0.6199,0.5661,0.0538,0.0627,1.7143,9.9,"model 62% vs market fair 57% = +5.4pp edge, EV +0.06/$1 at 1.71 | favorite side — the zone where the model is most trustworthy | line moved TOWARD model since open (1.87→1.71) — sharp money on our side of the number",,21.94
match,6,away,2026-06-13,Brazil vs Morocco,Morocco (away),BET,6.74,0.248,0.169,0.079,0.364,5.5,4.56,"model 25% vs market fair 17% = +7.9pp edge, EV +0.36/$1 at 5.50 | line moved TOWARD model since open (6.00→5.50) — sharp money on our side of the number",coin-flip match (entropy 1.54 bits) — stake halved,10.11
match,7,home,2026-06-13,Haiti vs Scotland,Haiti (home),BET,6.0,0.3207,0.1553,0.1654,0.9242,6.0,10.43,"model 32% vs market fair 16% = +16.5pp edge, EV +0.92/$1 at 6.00 | line moved TOWARD model since open (6.50→6.00) — sharp money on our side of the number",coin-flip match (entropy 1.58 bits) — stake halved | CONCACAF selection — model inflation documented (Mexico ~+6pp); edge partly model error,23.11
match,40,home,2026-06-21,New Zealand vs Egypt,New Zealand (home),BET,6.0,0.3236,0.2014,0.1222,0.5209,4.7,7.94,"model 32% vs market fair 20% = +12.2pp edge, EV +0.52/$1 at 4.70",coin-flip match (entropy 1.51 bits) — stake halved,17.6
match,53,home,2026-06-24,Mexico vs Czechia,Mexico (home),LEAN,5.56,0.5874,0.5281,0.0593,0.0769,1.8333,10.41,"model 59% vs market fair 53% = +5.9pp edge, EV +0.08/$1 at 1.83 | favorite side — the zone where the model is most trustworthy | line moved TOWARD model since open (1.95→1.83) — sharp money on our side of the number",CONCACAF selection — model inflation documented (Mexico ~+6pp); edge partly model error,23.07
match,54,home,2026-06-24,South Korea vs South Africa,South Korea (home),LEAN,5.28,0.6278,0.6064,0.0214,0.0083,1.6061,1.55,"model 63% vs market fair 61% = +2.1pp edge, EV +0.01/$1 at 1.61 | favorite side — the zone where the model is most trustworthy | line moved TOWARD model since open (2.10→1.61) — sharp money on our side of the number",,3.43
