group,team,fifa_rank,p_win_group,p_2nd,p_3rd,p_advance,played,actual_pts,actual_gf,actual_ga,actual_gd
A,Mexico,15,0.6409,0.2691,0.0736,0.9701,2,6,3,0,3
A,Korea Republic,25,0.2909,0.463,0.1796,0.8806,2,3,2,2,0
A,Czechia,41,0.04,0.148,0.3969,0.397,2,1,2,3,-1
A,South Africa,60,0.0282,0.1199,0.3499,0.3241,2,1,1,3,-2
B,Canada,30,0.6255,0.2397,0.1035,0.9523,2,4,7,1,6
B,Qatar,55,0.1914,0.3402,0.3094,0.7424,2,1,1,7,-6
B,Switzerland,19,0.1517,0.3063,0.3393,0.6862,2,4,5,2,3
B,Bosnia-Herzegovina,65,0.0314,0.1138,0.2478,0.2811,2,1,2,5,-3
C,Brazil,6,0.5205,0.2804,0.1434,0.9162,2,4,4,1,3
C,Morocco,8,0.2657,0.331,0.2675,0.7859,2,4,2,1,1
C,Haiti,82,0.1684,0.2758,0.3366,0.672,2,0,0,4,-4
C,Scotland,43,0.0454,0.1128,0.2525,0.3034,2,3,1,1,0
D,USA,16,0.5316,0.3322,0.1031,0.9445,2,6,6,1,5
D,Australia,27,0.3848,0.4145,0.1522,0.9155,2,3,2,2,0
D,Turkey,22,0.0558,0.1544,0.4117,0.434,2,0,0,3,-3
D,Paraguay,40,0.0278,0.0989,0.333,0.297,2,3,2,4,-2
E,Germany,10,0.4555,0.2654,0.1724,0.8521,2,6,9,2,7
E,Côte d'Ivoire,34,0.2844,0.3038,0.2373,0.7596,2,3,2,2,0
E,Curaçao,83,0.1302,0.2256,0.2926,0.5503,2,1,1,7,-6
E,Ecuador,24,0.1299,0.2052,0.2977,0.5258,2,1,0,1,-1
F,Japan,18,0.6153,0.2411,0.1033,0.9408,2,4,6,2,4
F,Netherlands,7,0.2107,0.3477,0.2674,0.7422,2,4,7,3,4
F,Sweden,38,0.0957,0.2202,0.3157,0.5094,2,3,6,6,0
F,Tunisia,45,0.0783,0.191,0.3136,0.4598,2,0,1,9,-8
G,Iran,21,0.4308,0.2962,0.1807,0.8634,2,2,2,2,0
G,New Zealand,85,0.3507,0.3179,0.2113,0.8239,2,1,3,5,-2
G,Belgium,9,0.1094,0.1854,0.2907,0.478,2,2,1,1,0
G,Egypt,28,0.1091,0.2005,0.3173,0.515,2,4,4,2,2
H,Spain,2,0.5187,0.2911,0.1445,0.9262,2,4,4,0,4
H,Saudi Arabia,61,0.3066,0.3586,0.2449,0.8478,2,1,1,5,-4
H,Uruguay,17,0.1487,0.2639,0.3812,0.662,2,2,3,3,0
H,Cape Verde Islands,68,0.026,0.0864,0.2294,0.2355,2,2,2,2,0
I,France,1,0.3582,0.2888,0.2219,0.8096,1,3,3,1,2
I,Iraq,57,0.2963,0.2841,0.244,0.7609,1,0,1,4,-3
I,Senegal,14,0.2623,0.2757,0.2698,0.7272,1,0,1,3,-2
I,Norway,31,0.0832,0.1514,0.2643,0.4071,1,3,4,1,3
J,Argentina,3,0.401,0.2894,0.1927,0.8358,1,3,3,0,3
J,Jordan,63,0.2992,0.2906,0.2426,0.7677,1,0,1,3,-2
J,Algeria,29,0.1942,0.2448,0.2882,0.6421,1,0,0,3,-3
J,Austria,23,0.1056,0.1752,0.2765,0.4586,1,3,3,1,2
K,Uzbekistan,50,0.3876,0.2954,0.2088,0.8439,1,0,1,3,-2
K,Portugal,5,0.3576,0.3005,0.2112,0.8143,1,1,1,1,0
K,Colombia,13,0.1719,0.2527,0.3083,0.6342,1,3,3,1,2
K,Congo DR,46,0.0829,0.1514,0.2717,0.4081,1,1,1,1,0
L,Panama,33,0.3619,0.2823,0.2112,0.8028,1,0,0,1,-1
L,England,4,0.3464,0.2878,0.2185,0.796,1,3,4,2,2
L,Croatia,11,0.1621,0.2229,0.282,0.5743,1,0,2,4,-2
L,Ghana,73,0.1296,0.207,0.2883,0.5233,1,3,1,0,1
