match_id,date,selection,opponent,tier,market_implied_win,model_win,model_cover,edge_ml,edge_dc,decimal_ml,decimal_dc,f_ml,f_dc,f_ml_solo,f_dc_solo,status_ml,status_dc,result_side,settled,rationale
2,2026-06-11,South Korea (home),Czechia,TOSS-UP,0.3568,0.4467,0.751,0.0899,0.0947,2.8027,1.5237,0.0421,0.05,0.05,0.05,WON,WON,home,True,ML 4.2% of bank (model 45% win vs 36% priced) + +0.5 5.0% of bank (model 75% not-lose vs 66% priced)
8,2026-06-13,Australia (home),Turkey,BIG DOG,0.1862,0.3974,0.6859,0.2112,0.2511,5.3706,2.2999,0.05,0.05,0.05,0.05,WON,WON,home,True,ML 5.0% of bank (model 40% win vs 19% priced) + +0.5 5.0% of bank (model 69% not-lose vs 43% priced)
11,2026-06-14,Ivory Coast (home),Ecuador,BIG DOG,0.2661,0.3625,0.683,0.0964,0.0783,3.758,1.6537,0.05,0.0433,0.05,0.05,WON,WON,home,True,ML 5.0% of bank (model 36% win vs 27% priced) + +0.5 4.3% of bank (model 68% not-lose vs 60% priced)
23,2026-06-17,Panama (away),Ghana,BIG DOG,0.2614,0.3956,0.7822,0.1342,0.2437,3.8256,1.857,0.0154,0.05,0.05,0.05,LOST,LOST,home,True,ML 1.5% of bank (model 40% win vs 26% priced) + +0.5 5.0% of bank (model 78% not-lose vs 54% priced)
30,2026-06-19,Morocco (away),Scotland,TOSS-UP,0.4847,0.5406,0.8359,0.0559,0.0614,2.0631,1.2912,0.0233,0.05,0.05,0.05,WON,WON,away,True,ML 2.3% of bank (model 54% win vs 48% priced) + +0.5 5.0% of bank (model 84% not-lose vs 77% priced)
32,2026-06-19,Turkey (away),Paraguay,TOSS-UP,0.4277,0.4466,0.7705,0.0189,0.0455,2.3381,1.3793,0.0,0.05,0.0,0.05,,LOST,home,True,+0.5 5.0% of bank (model 77% not-lose vs 72% priced)
43,2026-06-22,Senegal (away),Norway,BIG DOG,0.2822,0.4299,0.7109,0.1477,0.1626,3.5436,1.8238,0.05,0.05,0.05,0.05,,,,False,ML 5.0% of bank (model 43% win vs 28% priced) + +0.5 5.0% of bank (model 71% not-lose vs 55% priced)
50,2026-06-24,Qatar (home),Bosnia and Herzegovina,BIG DOG,0.1424,0.4231,0.7324,0.2807,0.3525,7.0225,2.6323,0.05,0.05,0.05,0.05,,,,False,ML 5.0% of bank (model 42% win vs 14% priced) + +0.5 5.0% of bank (model 73% not-lose vs 38% priced)
54,2026-06-24,South Korea (home),South Africa,TOSS-UP,0.4943,0.6278,0.8841,0.1335,0.1193,2.0231,1.3075,0.05,0.05,0.05,0.05,,,,False,ML 5.0% of bank (model 63% win vs 49% priced) + +0.5 5.0% of bank (model 88% not-lose vs 76% priced)
58,2026-06-25,Japan (home),Sweden,TOSS-UP,0.4588,0.4965,0.8535,0.0377,0.1201,2.1796,1.3635,0.0,0.05,0.0348,0.05,,,,False,+0.5 5.0% of bank (model 85% not-lose vs 73% priced)
59,2026-06-25,USA (home),Turkey,TOSS-UP,0.3769,0.4344,0.7251,0.0575,0.0805,2.6532,1.5513,0.0125,0.05,0.0461,0.05,,,,False,ML 1.3% of bank (model 43% win vs 38% priced) + +0.5 5.0% of bank (model 73% not-lose vs 64% priced)
60,2026-06-25,Australia (away),Paraguay,BIG DOG,0.2633,0.4557,0.7726,0.1924,0.2211,3.7979,1.8132,0.05,0.05,0.05,0.05,,,,False,ML 5.0% of bank (model 46% win vs 26% priced) + +0.5 5.0% of bank (model 77% not-lose vs 55% priced)
64,2026-06-26,Saudi Arabia (away),Cape Verde,TOSS-UP,0.3364,0.5049,0.8125,0.1685,0.1824,2.9727,1.587,0.05,0.05,0.05,0.05,,,,False,ML 5.0% of bank (model 50% win vs 34% priced) + +0.5 5.0% of bank (model 81% not-lose vs 63% priced)
66,2026-06-26,Iran (away),Egypt,BIG DOG,0.2624,0.3996,0.7921,0.1372,0.2139,3.811,1.7295,0.0367,0.05,0.05,0.05,,,,False,ML 3.7% of bank (model 40% win vs 26% priced) + +0.5 5.0% of bank (model 79% not-lose vs 58% priced)
69,2026-06-27,Portugal (away),Colombia,TOSS-UP,0.4406,0.4374,0.7625,-0.0032,0.0359,2.2696,1.3763,0.0,0.05,0.0,0.05,,,,False,+0.5 5.0% of bank (model 76% not-lose vs 73% priced)
70,2026-06-27,Uzbekistan (home),DR Congo,TOSS-UP,0.3039,0.3961,0.7355,0.0922,0.1464,3.2906,1.6975,0.0174,0.05,0.05,0.05,,,,False,ML 1.7% of bank (model 40% win vs 30% priced) + +0.5 5.0% of bank (model 74% not-lose vs 59% priced)
72,2026-06-27,Algeria (home),Austria,BIG DOG,0.2592,0.3822,0.6866,0.123,0.1226,3.858,1.773,0.05,0.05,0.05,0.05,,,,False,ML 5.0% of bank (model 38% win vs 26% priced) + +0.5 5.0% of bank (model 69% not-lose vs 56% priced)
