match_id,match,date,book,outcome,open_decimal,now_decimal,decimal_move,open_fair_prob,now_fair_prob,implied_shift,model_prob,significant,direction_vs_model,last_fetched
1,Mexico vs South Africa,2026-06-11,DraftKings,home,1.588,1.435,-0.153,0.6098,0.6772,0.0675,0.6714,True,toward,2026-06-11T21:00:05Z
1,Mexico vs South Africa,2026-06-11,DraftKings,draw,3.95,4.3,0.35,0.2378,0.2181,-0.0197,0.243,True,against,2026-06-11T21:00:05Z
1,Mexico vs South Africa,2026-06-11,DraftKings,away,6.0,8.5,2.5,0.1525,0.1047,-0.0477,0.0855,True,toward,2026-06-11T21:00:05Z
2,South Korea vs Czechia,2026-06-11,unknown,home,2.55,2.65,0.1,0.3577,0.3642,0.0065,0.4467,True,toward,2026-06-11T21:00:05Z
2,South Korea vs Czechia,2026-06-11,unknown,draw,2.95,3.05,0.1,0.3058,0.3152,0.0093,0.3043,False,against,2026-06-11T21:00:05Z
2,South Korea vs Czechia,2026-06-11,unknown,away,2.7,3.0,0.3,0.3365,0.3206,-0.0158,0.249,True,toward,2026-06-11T21:00:05Z
3,Canada vs Bosnia and Herzegovina,2026-06-12,DraftKings,home,2.0,1.87,-0.13,0.4611,0.5186,0.0575,0.6602,True,toward,2026-06-12T21:00:09Z
3,Canada vs Bosnia and Herzegovina,2026-06-12,DraftKings,draw,3.2,3.5,0.3,0.2784,0.2721,-0.0063,0.2348,True,toward,2026-06-12T21:00:09Z
3,Canada vs Bosnia and Herzegovina,2026-06-12,DraftKings,away,3.4,4.5,1.1,0.2605,0.2093,-0.0512,0.1051,True,toward,2026-06-12T21:00:09Z
3,Canada vs Bosnia and Herzegovina,2026-06-12,unknown,home,2.0,1.87,-0.13,0.4611,0.5202,0.059,0.6602,True,toward,2026-06-11T21:00:05Z
3,Canada vs Bosnia and Herzegovina,2026-06-12,unknown,draw,3.2,3.55,0.35,0.2784,0.2694,-0.009,0.2348,True,toward,2026-06-11T21:00:05Z
3,Canada vs Bosnia and Herzegovina,2026-06-12,unknown,away,3.4,4.5,1.1,0.2605,0.2105,-0.05,0.1051,True,toward,2026-06-11T21:00:05Z
4,USA vs Paraguay,2026-06-12,DraftKings,home,2.05,2.05,0.0,0.469,0.4716,0.0025,0.5246,False,toward,2026-06-13T03:00:05Z
4,USA vs Paraguay,2026-06-12,DraftKings,draw,3.55,3.2,-0.35,0.2655,0.2981,0.0326,0.2978,True,toward,2026-06-13T03:00:05Z
4,USA vs Paraguay,2026-06-12,DraftKings,away,3.55,4.1,0.55,0.2655,0.2303,-0.0352,0.1776,True,toward,2026-06-13T03:00:05Z
4,USA vs Paraguay,2026-06-12,unknown,home,2.05,2.1,0.05,0.469,0.4585,-0.0105,0.5246,False,against,2026-06-12T21:00:09Z
4,USA vs Paraguay,2026-06-12,unknown,draw,3.55,3.2,-0.35,0.2655,0.2968,0.0313,0.2978,True,toward,2026-06-12T21:00:09Z
4,USA vs Paraguay,2026-06-12,unknown,away,3.55,3.85,0.3,0.2655,0.2447,-0.0208,0.1776,True,toward,2026-06-12T21:00:09Z
5,Qatar vs Switzerland,2026-06-13,DraftKings,home,7.0,14.0,7.0,0.1132,0.0609,-0.0523,0.1822,True,against,2026-06-13T10:00:05Z
