team,fifa_rank,market_prob,model_prob,edge,ratio
Mexico,15.0,0.010504748693606378,0.0713,0.06079525130639363,6.787406541519276
Japan,18.0,0.012892191578516921,0.059,0.04610780842148308,4.576413532227946
Spain,2.0,0.15470629894220306,0.1854,0.03069370105779695,1.1983998147952841
USA,16.0,0.013948928593149456,0.041,0.027051071406850546,2.939293847997456
Iran,21.0,0.001213815469589325,0.0225,0.021286184530410673,18.53659025091558
Canada,30.0,0.004233256936229436,0.0212,0.016966743063770565,5.007964392277793
Korea Republic,25.0,0.0021219068433469246,0.0187,0.016578093156653078,8.81282797999941
Australia,27.0,0.0014157814379070163,0.0164,0.014984218562092986,11.583708869812925
New Zealand,85.0,0.0005668785104477794,0.0147,0.01413312148955222,25.93148219428607
Morocco,8.0,0.016684012631021896,0.0253,0.008615987368978104,1.5164217721195992
Panama,33.0,0.0008500346095725442,0.0072,0.006349965390427456,8.470243351174435
Côte d'Ivoire,34.0,0.0033899786620801464,0.0091,0.0057100213379198544,2.6843826782131104
Senegal,14.0,0.009350380705297987,0.0136,0.004249619294702012,1.4544862320198524
Algeria,29.0,0.0024241727754476263,0.0049,0.0024758272245523735,2.021308072439354
Uzbekistan,50.0,0.0005668785104477794,0.003,0.0024331214895522207,5.292139223323688
Saudi Arabia,61.0,0.0008500346095725442,0.0032,0.002349965390427456,3.764552600521972
Croatia,11.0,0.009350380705297987,0.0108,0.0014496192947020137,1.1550331842510595
Iraq,57.0,0.0005668785104477794,0.002,0.0014331214895522207,3.528092815549125
Jordan,63.0,0.00034021777056462087,0.0012,0.000859782229435379,3.5271526175969465
Haiti,82.0,0.00034021777056462087,0.0007,0.0003597822294353791,2.0575056935982188
Qatar,55.0,0.0005668785104477794,0.0005,-6.687851044777935e-05,0.8820232038872813
Curaçao,83.0,0.00034021777056462087,0.0,-0.00034021777056462087,0.0
Egypt,28.0,0.0028268592829970656,0.0023,-0.0005268592829970656,0.813623802866309
South Africa,60.0,0.0008500346095725442,0.0003,-0.0005500346095725442,0.3529268062989348
Cape Verde Islands,68.0,0.0008500346095725442,0.0,-0.0008500346095725442,0.0
Tunisia,45.0,0.001698372543277678,0.0002,-0.0014983725432776778,0.11775979351033392
Bosnia-Herzegovina,65.0,0.001698372543277678,0.0,-0.001698372543277678,0.0
Ghana,73.0,0.0028268592829970656,0.0009,-0.0019268592829970656,0.31837453155638173
Netherlands,7.0,0.0405183163896246,0.0384,-0.0021183163896246054,0.9477195357957411
Paraguay,40.0,0.0028268592829970656,0.0004,-0.0024268592829970654,0.14149979180283634
Czechia,41.0,0.0033899786620801464,0.0003,-0.0030899786620801465,0.08849613224878385
Austria,23.0,0.005634997643590177,0.0024,-0.003234997643590177,0.42590967233677646
Switzerland,19.0,0.012892191578516921,0.0094,-0.0034921915785169205,0.7291235119142829
Uruguay,17.0,0.012892191578516921,0.0087,-0.0041921915785169215,0.6748270801759852
Scotland,43.0,0.004233256936229436,0.0,-0.004233256936229436,0.0
Sweden,38.0,0.007032104497372866,0.0012,-0.005832104497372866,0.17064592832036407
Turkey,22.0,0.009350380705297987,0.0033,-0.006050380705297987,0.3529268062989348
Belgium,9.0,0.020753284004441874,0.0143,-0.006453284004441874,0.6890475742026823
Ecuador,24.0,0.010504748693606378,0.0025,-0.008004748693606378,0.2379876066451359
Germany,10.0,0.05672564294547445,0.0481,-0.008625642945474452,0.8479410281208174
Colombia,13.0,0.020753284004441874,0.0075,-0.013253284004441875,0.3613885878685396
England,4.0,0.10636058052276459,0.0894,-0.0169605805227646,0.8405369692474132
Brazil,6.0,0.0810366327792492,0.0635,-0.017536632779249203,0.7835962307686142
Norway,31.0,0.023635684560614354,0.0048,-0.018835684560614355,0.20308275767051592
Argentina,3.0,0.08508846441821168,0.0604,-0.024688464418211674,0.7098494538946275
Portugal,5.0,0.08956680465074912,0.0385,-0.05106680465074912,0.4298467512615232
France,1.0,0.147979938118629,0.0711,-0.076879938118629,0.48047053474912427
