team,market_team,american_odds,decimal_odds,implied_raw,fair_prob_prop,fair_prob_shin,market_prob,overround,p_winner,eliminated
Spain,Spain,450,5.5,0.18181818181818182,0.15470629894220306,0.16540845977569704,0.16540845977569704,1.1752474402228932,0.1843,False
France,France,475,5.75,0.17391304347826086,0.147979938118629,0.15809716824599185,0.15809716824599185,1.1752474402228932,0.0733,False
England,England,700,8.0,0.125,0.10636058052276459,0.11286152750724877,0.11286152750724877,1.1752474402228932,0.0908,False
Portugal,Portugal,850,9.5,0.10526315789473684,0.08956680465074912,0.09461105477569576,0.09461105477569576,1.1752474402228932,0.036,False
Argentina,Argentina,900,10.0,0.1,0.08508846441821168,0.08974468499585796,0.08974468499585796,1.1752474402228932,0.0584,False
Brazil,Brazil,950,10.5,0.09523809523809523,0.0810366327792492,0.08534198036490746,0.08534198036490746,1.1752474402228932,0.0647,False
Germany,Germany,1400,15.0,0.06666666666666667,0.05672564294547445,0.05893209184222702,0.05893209184222702,1.1752474402228932,0.0487,False
Netherlands,Netherlands,2000,21.0,0.047619047619047616,0.0405183163896246,0.04133816003672262,0.04133816003672262,1.1752474402228932,0.0389,False
Norway,Norway,3500,36.0,0.027777777777777776,0.023635684560614354,0.02304789787353375,0.02304789787353375,1.1752474402228932,0.0057,False
Belgium,Belgium,4000,41.0,0.024390243902439025,0.020753284004441874,0.01993534603265976,0.01993534603265976,1.1752474402228932,0.0137,False
Colombia,Colombia,4000,41.0,0.024390243902439025,0.020753284004441874,0.01993534603265976,0.01993534603265976,1.1752474402228932,0.0075,False
Morocco,Morocco,5000,51.0,0.0196078431372549,0.016684012631021896,0.015553302799977598,0.015553302799977598,1.1752474402228932,0.0246,False
USA,United States,6000,61.0,0.01639344262295082,0.013948928593149456,0.012621394074823522,0.012621394074823522,1.1752474402228932,0.0419,False
Switzerland,Switzerland,6500,66.0,0.015151515151515152,0.012892191578516921,0.01149319885023415,0.01149319885023415,1.1752474402228932,0.0082,False
Uruguay,Uruguay,6500,66.0,0.015151515151515152,0.012892191578516921,0.01149319885023415,0.01149319885023415,1.1752474402228932,0.0077,False
