match_id,date,stage,group,home_team,away_team,market_source,book,snapshot,overround,home_decimal_odds,home_fair_prob,home_fair_prob_prop,draw_decimal_odds,draw_fair_prob,draw_fair_prob_prop,away_decimal_odds,away_fair_prob,away_fair_prob_prop
1,2026-06-11,Group Stage,A,Mexico,South Africa,real,DraftKings,current,1.0508021390374331,1.4167,0.6845,0.6718,4.4,0.2117,0.2163,8.5,0.1037,0.112
2,2026-06-11,Group Stage,A,South Korea,Czechia,real,unknown,current,1.0400132275132274,2.7,0.3568,0.3561,3.2,0.2995,0.3005,2.8,0.3437,0.3434
3,2026-06-12,Group Stage,B,Canada,Bosnia and Herzegovina,real,unknown,current,1.0416666666666667,1.8,0.5395,0.5333,3.6,0.2646,0.2667,4.8,0.1959,0.2
4,2026-06-12,Group Stage,D,USA,Paraguay,real,unknown,current,1.0517598343685302,1.9091,0.5044,0.498,3.45,0.2734,0.2756,4.2,0.2223,0.2264
5,2026-06-13,Group Stage,B,Qatar,Switzerland,real,unknown,current,1.0467032967032968,12.0,0.071,0.0796,6.5,0.1403,0.147,1.2353,0.7887,0.7734
6,2026-06-13,Group Stage,C,Brazil,Morocco,real,unknown,current,1.040321583178726,1.6897,0.576,0.5689,3.75,0.254,0.2563,5.5,0.17,0.1748
7,2026-06-13,Group Stage,C,Haiti,Scotland,real,unknown,current,1.0420819490586932,6.0,0.1545,0.1599,4.3,0.2197,0.2232,1.5556,0.6258,0.6169
8,2026-06-13,Group Stage,D,Australia,Turkey,real,unknown,current,1.0464912280701753,5.0,0.1862,0.1911,3.8,0.2486,0.2515,1.7143,0.5652,0.5574
9,2026-06-14,Group Stage,E,Germany,Curacao,real,unknown,current,1.0655285102546768,1.0286,0.9406,0.9124,17.0,0.0405,0.0552,29.0,0.0188,0.0324
10,2026-06-14,Group Stage,F,Netherlands,Japan,real,unknown,current,1.0676328502415457,2.0,0.4751,0.4683,3.45,0.2684,0.2715,3.6,0.2565,0.2602
11,2026-06-14,Group Stage,E,Ivory Coast,Ecuador,real,unknown,current,1.0368182360663563,3.6,0.2661,0.2679,2.85,0.3386,0.3384,2.45,0.3953,0.3937
12,2026-06-14,Group Stage,F,Tunisia,Sweden,real,unknown,current,1.0346083339498713,4.3,0.222,0.2248,3.45,0.2788,0.2802,1.9524,0.4992,0.4951
13,2026-06-15,Group Stage,H,Spain,Cape Verde,real,unknown,current,1.044871794871795,1.0833,0.9018,0.8834,12.0,0.0708,0.0798,26.0,0.0274,0.0368
14,2026-06-15,Group Stage,G,Belgium,Egypt,real,unknown,current,1.058059587471352,1.6452,0.5849,0.5745,3.85,0.2417,0.2455,5.25,0.1735,0.18
15,2026-06-15,Group Stage,H,Saudi Arabia,Uruguay,real,unknown,current,1.0441919191919191,8.0,0.1128,0.1197,4.5,0.2088,0.2128,1.4348,0.6785,0.6675
16,2026-06-15,Group Stage,G,Iran,New Zealand,real,unknown,current,1.0409373235460193,1.9091,0.5084,0.5032,3.45,0.2768,0.2785,4.4,0.2148,0.2183
17,2026-06-16,Group Stage,I,France,Senegal,real,unknown,current,1.0476190476190477,1.4651,0.6628,0.6515,4.5,0.2078,0.2121,7.0,0.1295,0.1364
18,2026-06-16,Group Stage,I,Norway,Iraq,real,unknown,current,1.0403726708074534,1.2105,0.8079,0.794,7.0,0.1312,0.1373,14.0,0.0609,0.0687
19,2026-06-16,Group Stage,J,Argentina,Algeria,real,unknown,current,1.0386473429951693,1.4082,0.6938,0.6837,4.6,0.2056,0.2093,9.0,0.1005,0.107
20,2026-06-16,Group Stage,J,Austria,Jordan,real,unknown,current,1.0431789006885284,1.3226,0.7374,0.7248,5.5,0.1691,0.1743,9.5,0.0935,0.1009
21,2026-06-17,Group Stage,K,Portugal,DR Congo,real,unknown,current,1.0474308300395256,1.2778,0.7618,0.7472,5.75,0.16,0.166,11.0,0.0783,0.0868
22,2026-06-17,Group Stage,L,England,Croatia,real,unknown,current,1.0514069264069263,1.7143,0.5633,0.5548,3.85,0.2437,0.247,4.8,0.193,0.1981
23,2026-06-17,Group Stage,L,Ghana,Panama,real,unknown,current,1.0400181513939704,2.1,0.4616,0.4579,3.45,0.2771,0.2787,3.65,0.2614,0.2634
24,2026-06-17,Group Stage,K,Uzbekistan,Colombia,real,unknown,current,1.0409207161125318,8.5,0.1064,0.113,4.6,0.205,0.2088,1.4167,0.6886,0.6781
25,2026-06-18,Group Stage,A,South Africa,Czechia,real,unknown,current,1.044408007105281,4.2,0.2245,0.228,3.4,0.2799,0.2816,1.9524,0.4956,0.4904
26,2026-06-18,Group Stage,B,Switzerland,Bosnia and Herzegovina,real,unknown,current,1.0411052362271875,1.625,0.599,0.5911,4.1,0.2312,0.2343,5.5,0.1698,0.1746
27,2026-06-18,Group Stage,B,Canada,Qatar,real,unknown,current,1.0432900432900432,1.3125,0.7431,0.7303,5.25,0.1776,0.1826,11.0,0.0794,0.0871
28,2026-06-18,Group Stage,A,Mexico,South Korea,real,unknown,current,1.0422941157420902,1.8,0.5393,0.533,3.65,0.2606,0.2629,4.7,0.2001,0.2041
29,2026-06-19,Group Stage,D,USA,Australia,real,unknown,current,1.0406041704885953,1.7692,0.5495,0.5432,3.95,0.2406,0.2433,4.5,0.2099,0.2136
30,2026-06-19,Group Stage,C,Scotland,Morocco,real,unknown,current,1.0411255411255411,4.2,0.2255,0.2287,3.3,0.2898,0.2911,2.0,0.4847,0.4802
31,2026-06-19,Group Stage,C,Brazil,Haiti,real,unknown,current,1.0384615384615385,1.0833,0.9048,0.8889,13.0,0.0663,0.0741,26.0,0.0289,0.037
32,2026-06-19,Group Stage,D,Paraguay,Turkey,real,unknown,current,1.0467995169082125,3.45,0.2749,0.2769,3.2,0.2973,0.2985,2.25,0.4277,0.4246
33,2026-06-20,Group Stage,F,Netherlands,Sweden,real,unknown,current,1.0364145658263306,1.6452,0.5934,0.5865,4.2,0.2269,0.2297,5.25,0.1797,0.1838
34,2026-06-20,Group Stage,E,Germany,Ivory Coast,real,unknown,current,1.044042913608131,1.5556,0.625,0.6157,4.4,0.2139,0.2177,5.75,0.1611,0.1666
35,2026-06-20,Group Stage,E,Ecuador,Curacao,real,unknown,current,1.0435897435897437,1.2,0.8136,0.7985,7.5,0.1209,0.1278,13.0,0.0654,0.0737
36,2026-06-20,Group Stage,F,Tunisia,Japan,real,unknown,current,1.044079794079794,5.25,0.1775,0.1824,3.7,0.2564,0.2589,1.7143,0.5661,0.5587
37,2026-06-21,Group Stage,H,Spain,Saudi Arabia,real,unknown,current,1.0434782608695652,1.1,0.8886,0.8712,11.0,0.0787,0.0871,23.0,0.0326,0.0417
38,2026-06-21,Group Stage,G,Belgium,Iran,real,unknown,current,1.0434782608695654,1.4082,0.6918,0.6806,4.8,0.1952,0.1997,8.0,0.113,0.1198
39,2026-06-21,Group Stage,H,Uruguay,Cape Verde,real,unknown,current,1.0430323299888518,1.4444,0.6743,0.6637,4.6,0.2044,0.2084,7.5,0.1213,0.1278
40,2026-06-21,Group Stage,G,New Zealand,Egypt,real,unknown,current,1.037723608491416,4.7,0.2014,0.205,3.85,0.248,0.2503,1.7692,0.5506,0.5447
41,2026-06-22,Group Stage,J,Argentina,Austria,real,unknown,current,1.0381664371434192,1.6452,0.5927,0.5855,3.9,0.2445,0.247,5.75,0.1628,0.1675
42,2026-06-22,Group Stage,I,France,Iraq,real,unknown,current,1.0384615384615385,1.125,0.8709,0.856,9.0,0.1001,0.107,26.0,0.029,0.037
43,2026-06-22,Group Stage,I,Norway,Senegal,real,unknown,current,1.0370117039063689,2.15,0.4517,0.4485,3.6,0.2661,0.2679,3.4,0.2822,0.2836
44,2026-06-22,Group Stage,J,Jordan,Algeria,real,unknown,current,1.041576707174141,6.5,0.142,0.1477,4.3,0.2198,0.2233,1.5263,0.6382,0.629
45,2026-06-23,Group Stage,K,Portugal,Uzbekistan,real,unknown,current,1.0467032967032968,1.2353,0.7887,0.7734,6.5,0.1403,0.147,12.0,0.071,0.0796
46,2026-06-23,Group Stage,L,England,Ghana,real,unknown,current,1.0437229437229438,1.3125,0.7429,0.73,5.5,0.1689,0.1742,10.0,0.0882,0.0958
47,2026-06-23,Group Stage,L,Panama,Croatia,real,unknown,current,1.0467032967032965,6.5,0.1406,0.147,4.0,0.2355,0.2388,1.5556,0.6239,0.6142
48,2026-06-23,Group Stage,K,Colombia,DR Congo,real,unknown,current,1.0397727272727273,1.4545,0.6709,0.6612,4.4,0.2151,0.2186,8.0,0.114,0.1202
49,2026-06-24,Group Stage,B,Canada,Switzerland,real,unknown,current,1.0406856372478213,3.5,0.2728,0.2745,3.45,0.2769,0.2785,2.15,0.4504,0.4469
50,2026-06-24,Group Stage,B,Qatar,Bosnia and Herzegovina,real,unknown,current,1.0402097902097902,6.5,0.1424,0.1479,4.0,0.2375,0.2403,1.5714,0.6201,0.6118
51,2026-06-24,Group Stage,C,Scotland,Brazil,real,unknown,current,1.0428794468607114,6.0,0.1543,0.1598,4.9,0.1913,0.1957,1.4878,0.6544,0.6445
52,2026-06-24,Group Stage,C,Morocco,Haiti,real,unknown,current,1.0359990886306676,1.3509,0.7248,0.7145,5.25,0.1798,0.1839,9.5,0.0955,0.1016
53,2026-06-24,Group Stage,A,Mexico,Czechia,real,unknown,current,1.0422941157420902,1.8,0.5393,0.533,3.65,0.2606,0.2629,4.7,0.2001,0.2041
