settled_at,match_id,date,label,selection,outcome,home_team,away_team,home_goals,away_goals,result_side,status,taken_decimal,stake_usd,pnl_usd,ledger
2026-06-22T18:07:41Z,16,2026-06-15,Iran vs New Zealand,New Zealand (away),away,Iran,New Zealand,2,2,draw,LOST,4.7,11.67,-11.67,clv_report
2026-06-22T18:07:41Z,10,2026-06-14,Netherlands vs Japan,Japan (away),away,Netherlands,Japan,2,2,draw,LOST,3.6,6.5,-6.5,clv_report
2026-06-22T18:07:41Z,30,2026-06-19,Scotland vs Morocco,Morocco (away),away,Scotland,Morocco,0,1,away,WON,2.0,7.85,7.85,clv_report
2026-06-22T18:07:41Z,36,2026-06-20,Tunisia vs Japan,Japan (away),away,Tunisia,Japan,0,4,away,WON,1.7143,8.49,6.06,clv_report
2026-06-22T18:07:41Z,6,2026-06-13,Brazil vs Morocco,Morocco (away),away,Brazil,Morocco,1,1,draw,LOST,5.5,3.91,-3.91,clv_report
2026-06-22T18:07:41Z,7,2026-06-13,Haiti vs Scotland,Haiti (home),home,Haiti,Scotland,0,1,away,LOST,6.0,8.94,-8.94,clv_report
2026-06-22T18:07:41Z,40,2026-06-21,New Zealand vs Egypt,New Zealand (home),home,New Zealand,Egypt,1,3,away,LOST,4.7,6.81,-6.81,clv_report
2026-06-22T18:07:41Z,17,2026-06-16,France vs Senegal,Senegal (away),away,France,Senegal,3,1,home,LOST,7.0,11.99,-11.99,clv_report
2026-06-22T18:07:41Z,29,2026-06-19,USA vs Australia,Australia (away),away,USA,Australia,2,0,home,LOST,4.5,3.96,-3.96,clv_report
2026-06-22T18:07:41Z,8,2026-06-13,Australia vs Turkey,Australia (home),home,Australia,Turkey,2,0,home,WON,5.25,9.67,41.1,clv_report
2026-06-22T18:07:41Z,11,2026-06-14,Ivory Coast vs Ecuador,Ivory Coast (home),home,Ivory Coast,Ecuador,1,0,home,WON,3.6,5.67,14.74,clv_report
2026-06-22T18:07:41Z,32,2026-06-19,Paraguay vs Turkey,Turkey (away),away,Paraguay,Turkey,1,0,home,LOST,2.25,0.19,-0.19,clv_report
2026-06-22T18:07:41Z,14,2026-06-15,Belgium vs Egypt,Egypt (away),away,Belgium,Egypt,1,1,draw,LOST,5.75,4.76,-4.76,clv_report
2026-06-22T18:07:41Z,16,2026-06-15,Iran vs New Zealand,New Zealand (away),away,Iran,New Zealand,2,2,draw,LOST,4.7,11.67,-11.67,bet_ledger
2026-06-22T18:07:41Z,10,2026-06-14,Netherlands vs Japan,Japan (away),away,Netherlands,Japan,2,2,draw,LOST,3.6,6.5,-6.5,bet_ledger
2026-06-22T18:07:41Z,3,2026-06-12,Canada vs Bosnia and Herzegovina,Canada (home),home,Canada,Bosnia and Herzegovina,1,1,draw,LOST,1.8333,19.35,-19.35,bet_ledger
2026-06-22T18:07:41Z,30,2026-06-19,Scotland vs Morocco,Morocco (away),away,Scotland,Morocco,0,1,away,WON,2.0,7.85,7.85,bet_ledger
2026-06-22T18:07:41Z,36,2026-06-20,Tunisia vs Japan,Japan (away),away,Tunisia,Japan,0,4,away,WON,1.7143,8.49,6.06,bet_ledger
2026-06-22T18:07:41Z,6,2026-06-13,Brazil vs Morocco,Morocco (away),away,Brazil,Morocco,1,1,draw,LOST,5.5,3.91,-3.91,bet_ledger
2026-06-22T18:07:41Z,7,2026-06-13,Haiti vs Scotland,Haiti (home),home,Haiti,Scotland,0,1,away,LOST,6.0,8.94,-8.94,bet_ledger
2026-06-22T18:07:41Z,40,2026-06-21,New Zealand vs Egypt,New Zealand (home),home,New Zealand,Egypt,1,3,away,LOST,4.7,6.81,-6.81,bet_ledger
2026-06-22T18:07:41Z,17,2026-06-16,France vs Senegal,Senegal (away),away,France,Senegal,3,1,home,LOST,7.0,11.99,-11.99,bet_ledger
2026-06-22T18:07:41Z,29,2026-06-19,USA vs Australia,Australia (away),away,USA,Australia,2,0,home,LOST,4.5,3.96,-3.96,bet_ledger
2026-06-22T18:07:41Z,8,2026-06-13,Australia vs Turkey,Australia (home),home,Australia,Turkey,2,0,home,WON,5.25,9.67,41.1,bet_ledger
2026-06-22T18:07:41Z,11,2026-06-14,Ivory Coast vs Ecuador,Ivory Coast (home),home,Ivory Coast,Ecuador,1,0,home,WON,3.6,5.67,14.74,bet_ledger
2026-06-22T18:07:41Z,2,2026-06-11,South Korea vs Czechia,South Korea (home),home,South Korea,Czechia,2,1,home,WON,2.7,5.86,9.96,bet_ledger
2026-06-22T18:07:41Z,32,2026-06-19,Paraguay vs Turkey,Turkey (away),away,Paraguay,Turkey,1,0,home,LOST,2.25,0.19,-0.19,bet_ledger
2026-06-22T18:07:41Z,4,2026-06-12,USA vs Paraguay,USA (home),home,USA,Paraguay,4,1,home,WON,2.1,9.26,10.19,bet_ledger
2026-06-22T18:07:41Z,14,2026-06-15,Belgium vs Egypt,Egypt (away),away,Belgium,Egypt,1,1,draw,LOST,5.75,4.76,-4.76,bet_ledger
2026-06-24T15:05:27Z,43,2026-06-22,Norway vs Senegal,Senegal (away),away,Norway,Senegal,3,2,home,LOST,3.4,9.31,-9.31,clv_report
2026-06-24T15:05:27Z,47,2026-06-23,Panama vs Croatia,Panama (home),home,Panama,Croatia,0,1,away,LOST,6.5,9.67,-9.67,clv_report
2026-06-24T15:05:27Z,43,2026-06-22,Norway vs Senegal,Senegal (away),away,Norway,Senegal,3,2,home,LOST,3.4,9.31,-9.31,bet_ledger
2026-06-24T15:05:27Z,47,2026-06-23,Panama vs Croatia,Panama (home),home,Panama,Croatia,0,1,away,LOST,6.5,9.67,-9.67,bet_ledger
