date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,tournament_tier,result,sample_weight
2002-01-18,Haiti,Canada,0.0,2.0,Gold Cup,Miami,United States,True,3,0,0.9719516879463347
2002-01-18,Martinique,Costa Rica,0.0,2.0,Gold Cup,Miami,United States,True,3,0,0.9719516879463347
2002-01-19,El Salvador,Mexico,0.0,1.0,Gold Cup,Pasadena,United States,True,3,0,0.9719584250927767
2002-01-19,Mali,Liberia,1.0,1.0,African Cup of Nations,Bamako,Mali,False,3,1,0.9719584250927767
2002-01-19,USA,Korea Republic,2.0,1.0,Gold Cup,Pasadena,United States,False,3,2,0.9719584250927767
2002-01-20,Cameroon,Congo DR,1.0,0.0,African Cup of Nations,Sikasso,Mali,True,3,2,0.9719651622859178
2002-01-20,Costa Rica,Trinidad and Tobago,1.0,1.0,Gold Cup,Miami,United States,True,3,1,0.9719651622859178
2002-01-20,Ecuador,Haiti,0.0,2.0,Gold Cup,Miami,United States,True,3,0,0.9719651622859178
2002-01-20,Egypt,Senegal,0.0,1.0,African Cup of Nations,Bamako,Mali,True,3,0,0.9719651622859178
2002-01-20,South Africa,Burkina Faso,0.0,0.0,African Cup of Nations,Ségou,Mali,True,3,1,0.9719651622859178
2002-01-21,Algeria,Nigeria,0.0,1.0,African Cup of Nations,Bamako,Mali,True,3,0,0.971971899525758
2002-01-21,Mexico,Guatemala,3.0,1.0,Gold Cup,Pasadena,United States,True,3,2,0.971971899525758
2002-01-21,Morocco,Ghana,0.0,0.0,African Cup of Nations,Ségou,Mali,True,3,1,0.971971899525758
2002-01-21,Togo,Côte d'Ivoire,0.0,0.0,African Cup of Nations,Sikasso,Mali,True,3,1,0.971971899525758
2002-01-21,USA,Cuba,1.0,0.0,Gold Cup,Pasadena,United States,False,3,2,0.971971899525758
2002-01-21,Zambia,Tunisia,0.0,0.0,African Cup of Nations,Bamako,Mali,True,3,1,0.971971899525758
2002-01-22,Canada,Ecuador,0.0,2.0,Gold Cup,Miami,United States,True,3,0,0.9719786368122979
2002-01-22,Trinidad and Tobago,Martinique,0.0,1.0,Gold Cup,Miami,United States,True,3,0,0.9719786368122979
2002-01-23,Guatemala,El Salvador,0.0,1.0,Gold Cup,Pasadena,United States,True,3,0,0.9719853741455378
2002-01-23,Korea Republic,Cuba,0.0,0.0,Gold Cup,Pasadena,United States,True,3,1,0.9719853741455378
2002-01-24,Mali,Nigeria,0.0,0.0,African Cup of Nations,Bamako,Mali,False,3,1,0.9719921115254778
