match_id,date,stage,group,match,outcome,selection,model_prob,decimal_odds,market_implied,market_source,book,edge,edge_flag,ev,ev_flag,kelly_full,kelly_quarter,recommended_stake_pct,recommended_stake_usd
18,2026-06-16,Group Stage,I,Norway vs Iraq,away,Iraq,0.3219,14.0,0.0609,real,unknown,0.261,STRONG,3.5066,STRONG,0.2697,0.0674,0.05,50.0
42,2026-06-22,Group Stage,I,France vs Iraq,away,Iraq,0.1585,26.0,0.029,real,unknown,0.1295,STRONG,3.121,STRONG,0.1248,0.0312,0.0312,31.21
37,2026-06-21,Group Stage,H,Spain vs Saudi Arabia,away,Saudi Arabia,0.1484,23.0,0.0326,real,unknown,0.1158,STRONG,2.4132,STRONG,0.1097,0.0274,0.0274,27.42
9,2026-06-14,Group Stage,E,Germany vs Curacao,away,Curacao,0.1116,29.0,0.0188,real,unknown,0.0928,STRONG,2.2364,STRONG,0.0799,0.02,0.02,19.97
65,2026-06-26,Group Stage,G,New Zealand vs Belgium,home,New Zealand,0.308,10.0,0.0893,real,unknown,0.2187,STRONG,2.08,STRONG,0.2311,0.0578,0.05,50.0
31,2026-06-19,Group Stage,C,Brazil vs Haiti,draw,Draw,0.2284,13.0,0.0663,real,unknown,0.1621,STRONG,1.9692,STRONG,0.1641,0.041,0.041,41.02
31,2026-06-19,Group Stage,C,Brazil vs Haiti,away,Haiti,0.1133,26.0,0.0289,real,unknown,0.0844,STRONG,1.9458,STRONG,0.0778,0.0195,0.0195,19.46
20,2026-06-16,Group Stage,J,Austria vs Jordan,away,Jordan,0.307,9.5,0.0935,real,unknown,0.2135,STRONG,1.9165,STRONG,0.2255,0.0564,0.05,50.0
9,2026-06-14,Group Stage,E,Germany vs Curacao,draw,Draw,0.1667,17.0,0.0405,real,unknown,0.1262,STRONG,1.8339,STRONG,0.1146,0.0287,0.0287,28.65
38,2026-06-21,Group Stage,G,Belgium vs Iran,away,Iran,0.345,8.0,0.113,real,unknown,0.232,STRONG,1.76,STRONG,0.2514,0.0629,0.05,50.0
13,2026-06-15,Group Stage,H,Spain vs Cape Verde,draw,Draw,0.226,12.0,0.0708,real,unknown,0.1552,STRONG,1.712,STRONG,0.1556,0.0389,0.0389,38.91
50,2026-06-24,Group Stage,B,Qatar vs Bosnia and Herzegovina,home,Qatar,0.4067,6.5,0.1424,real,unknown,0.2643,STRONG,1.6436,STRONG,0.2988,0.0747,0.05,50.0
