market,selection,model_prob,american_odds,decimal_odds,market_implied,market_source,edge,edge_flag,ev,ev_flag,kelly_full,kelly_quarter,recommended_stake_pct,recommended_stake_usd,tail_risk
tournament_winner,New Zealand,0.0143,150000,1501.0,0.0001,real,0.0142,,20.4643,STRONG,0.0136,0.0034,0.0034,3.41,True
tournament_winner,Iran,0.0165,70000,701.0,0.0003,real,0.0162,,10.5665,STRONG,0.0151,0.0038,0.0038,3.77,True
tournament_winner,Australia,0.0136,60000,601.0,0.0004,real,0.0132,,7.1736,STRONG,0.012,0.003,0.003,2.99,True
tournament_winner,Korea Republic,0.0178,40000,401.0,0.0008,real,0.017,,6.1378,STRONG,0.0153,0.0038,0.0038,3.84,True
tournament_winner,Mexico,0.0693,8000,81.0,0.009,real,0.0603,STRONG,4.6133,STRONG,0.0577,0.0144,0.0144,14.42,False
tournament_winner,Panama,0.0045,100000,1001.0,0.0001,real,0.0044,,3.5045,STRONG,0.0035,0.0009,0.0009,0.88,True
tournament_winner,Côte d'Ivoire,0.0108,25000,251.0,0.0018,real,0.009,,1.7108,STRONG,0.0068,0.0017,0.0017,1.71,True
tournament_winner,Japan,0.0409,6500,66.0,0.0115,real,0.0294,,1.6994,STRONG,0.0261,0.0065,0.0065,6.54,False
tournament_winner,Canada,0.0132,20000,201.0,0.0026,real,0.0106,,1.6532,STRONG,0.0083,0.0021,0.0021,2.07,True
tournament_winner,Uzbekistan,0.0017,150000,1501.0,0.0001,real,0.0016,,1.5517,STRONG,0.001,0.0003,0.0003,0.26,True
tournament_winner,USA,0.0397,6000,61.0,0.0126,real,0.0271,,1.4217,STRONG,0.0237,0.0059,0.0059,5.92,False
tournament_winner,Saudi Arabia,0.0024,100000,1001.0,0.0001,real,0.0023,,1.4024,STRONG,0.0014,0.0004,0.0004,0.35,True
tournament_winner,Jordan,0.0005,250000,2501.0,0.0,real,0.0005,,0.2505,STRONG,0.0001,0.0,0.0,0.03,True
tournament_winner,Morocco,0.0208,5000,51.0,0.0156,real,0.0052,,0.0608,STRONG,0.0012,0.0003,0.0003,0.3,False
tournament_winner,Spain,0.1855,450,5.5,0.1654,real,0.0201,,0.0202,value,0.0045,0.0011,0.0011,1.12,False
tournament_winner,Germany,0.0573,1400,15.0,0.0589,real,-0.0016,,-0.1405,,0.0,0.0,0.0,0.0,False
tournament_winner,Argentina,0.0838,900,10.0,0.0897,real,-0.0059,,-0.162,,0.0,0.0,0.0,0.0,False
tournament_winner,Croatia,0.0089,9000,91.0,0.0077,real,0.0012,,-0.1901,,0.0,0.0,0.0,0.0,True
tournament_winner,England,0.0995,700,8.0,0.1129,real,-0.0134,,-0.204,,0.0,0.0,0.0,0.0,False
tournament_winner,Netherlands,0.0376,2000,21.0,0.0413,real,-0.0037,,-0.2104,,0.0,0.0,0.0,0.0,False
tournament_winner,Senegal,0.0071,9000,91.0,0.0077,real,-0.0006,,-0.3539,,0.0,0.0,0.0,0.0,True
tournament_winner,Brazil,0.0587,950,10.5,0.0853,real,-0.0266,,-0.3837,,0.0,0.0,0.0,0.0,False
tournament_winner,Iraq,0.0004,150000,1501.0,0.0001,real,0.0003,,-0.3996,,0.0,0.0,0.0,0.0,True
tournament_winner,France,0.1024,475,5.75,0.1581,real,-0.0557,,-0.4112,,0.0,0.0,0.0,0.0,False
tournament_winner,Algeria,0.0015,35000,351.0,0.001,real,0.0005,,-0.4735,,0.0,0.0,0.0,0.0,True
tournament_winner,Switzerland,0.0075,6500,66.0,0.0115,real,-0.004,,-0.505,,0.0,0.0,0.0,0.0,True
tournament_winner,Belgium,0.0115,4000,41.0,0.0199,real,-0.0084,,-0.5285,,0.0,0.0,0.0,0.0,True
tournament_winner,Egypt,0.0015,30000,301.0,0.0014,real,0.0001,,-0.5485,,0.0,0.0,0.0,0.0,True
tournament_winner,Austria,0.0028,15000,151.0,0.0039,real,-0.0011,,-0.5772,,0.0,0.0,0.0,0.0,True
