rank,team_name,team_code,points
1,France,FRA,1877.32
2,Spain,ESP,1876.4
3,Argentina,ARG,1874.81
4,England,ENG,1825.97
5,Portugal,POR,1763.83
6,Brazil,BRA,1762.66
7,Netherlands,NED,1757.87
8,Morocco,MAR,1757.29
9,Belgium,BEL,1739.54
10,Germany,GER,1731.3
11,Croatia,CRO,1712.24
12,Italy,ITA,1700.37
13,Colombia,COL,1695.99
14,Senegal,SEN,1686.41
15,Mexico,MEX,1684.13
16,USA,USA,1675.71
17,Uruguay,URU,1673.07
18,Japan,JPN,1661.58
19,Switzerland,SUI,1650.75
20,Denmark,DEN,1620.81
21,IR Iran,IRN,1616.04
22,Türkiye,TUR,1601.99
25,Korea Republic,KOR,1589.65
26,Nigeria,NGA,1587.28
27,Australia,AUS,1578.65
30,Canada,CAN,1560.61
31,Norway,NOR,1555.59
32,Ukraine,UKR,1549.29
33,Panama,PAN,1539.14
34,Côte d'Ivoire,CIV,1532.98
35,Poland,POL,1525.59
36,Russia,RUS,1523.28
37,Wales,WAL,1522.64
38,Sweden,SWE,1510.12
39,Serbia,SRB,1505.48
40,Paraguay,PAR,1503.5
41,Czechia,CZE,1503.04
42,Hungary,HUN,1500.58
43,Scotland,SCO,1499.92
46,Congo DR,COD,1478.35
47,Greece,GRE,1475.82
48,Slovakia,SVK,1475.28
49,Venezuela,VEN,1468.05
50,Uzbekistan,UZB,1461.21
53,Peru,PER,1455.87
54,Chile,CHI,1455.28
55,Qatar,QAT,1452.38
56,Romania,ROU,1450.2
57,Iraq,IRQ,1447.78
58,Slovenia,SVN,1446.44
59,Republic of Ireland,IRL,1439.96
60,South Africa,RSA,1428.38
61,Saudi Arabia,KSA,1419.73
62,Burkina Faso,BFA,1412.49
63,Jordan,JOR,1390.1
64,Albania,ALB,1388.06
65,Bosnia and Herzegovina,BIH,1385.77
66,Honduras,HON,1380.27
70,Northern Ireland,NIR,1362.16
71,Jamaica,JAM,1357.84
72,Georgia,GEO,1351.14
75,Iceland,ISL,1343.92
76,Bolivia,BOL,1329.42
77,Israel,ISR,1328.33
78,Kosovo,KOS,1317.17
79,Oman,OMA,1313.46
84,Syria,SYR,1288.56
85,New Zealand,NZL,1276.67
86,Bulgaria,BUL,1274.06
87,Gabon,GAB,1272.51
88,Uganda,UGA,1264.09
89,Angola,ANG,1263.1
90,Benin,BEN,1258.98
91,Bahrain,BHR,1258.53
92,Zambia,ZAM,1255.82
93,Thailand,THA,1252.14
94,China PR,CHN,1251.6
95,Palestine,PLE,1244.73
96,Guatemala,GUA,1243.47
97,Belarus,BLR,1235.82
98,Luxembourg,LUX,1227.77
99,Vietnam,VIE,1225.68
100,El Salvador,SLV,1225.26
101,Mozambique,MOZ,1224.31
102,Trinidad and Tobago,TRI,1221.95
103,Tajikistan,TJK,1221.78
104,Madagascar,MAD,1202.69
105,Equatorial Guinea,EQG,1195.2
106,Armenia,ARM,1191.42
107,Kyrgyz Republic,KGZ,1191.14
108,Lebanon,LBN,1187.96
109,Comoros,COM,1187.91
110,Kazakhstan,KAZ,1182.96
111,Kenya,KEN,1182.23
112,Libya,LBY,1182.08
113,Tanzania,TAN,1180.27
114,Niger,NIG,1179.66
115,Mauritania,MTN,1170.72
116,The Gambia,GAM,1159.64
117,Sudan,SDN,1157.22
118,Korea DPR,PRK,1151.05
119,Sierra Leone,SLE,1148.98
120,Namibia,NAM,1148.84
121,Togo,TOG,1147.31
122,Indonesia,IDN,1144.88
123,Faroe Islands,FRO,1137.14
124,Azerbaijan,AZE,1136.67
125,Suriname,SUR,1132.43
126,Cyprus,CYP,1128.33
127,Malawi,MWI,1128.03
128,Rwanda,RWA,1126.62
129,Estonia,EST,1121.1
130,Zimbabwe,ZIM,1119.77
131,Nicaragua,NCA,1116.48
132,Guinea-Bissau,GNB,1108.38
133,Congo,CGO,1105.96
134,Kuwait,KUW,1105.1
135,Philippines,PHI,1094.1
138,Malaysia,MAS,1086.22
139,Central African Republic,CTA,1083.57
140,Liberia,LBR,1079.02
141,Turkmenistan,TKM,1078.65
144,Ethiopia,ETH,1071.55
145,Lesotho,LES,1067.13
146,Botswana,BOT,1063.63
147,Singapore,SGP,1061.2
148,Lithuania,LTU,1058.42
149,Yemen,YEM,1049.49
150,Guyana,GUY,1049.32
151,New Caledonia,NCL,1036.95
152,St Kitts and Nevis,SKN,1036.33
153,Solomon Islands,SOL,1031.89
154,Fiji,FIJ,1029.7
155,"Hong Kong, China",HKG,1026.63
156,Puerto Rico,PUR,1026.11
157,Tahiti,TAH,1019.04
158,Myanmar,MYA,1011.88
159,Moldova,MDA,1004.16
160,Vanuatu,VAN,997.01
163,Grenada,GRN,981.83
164,Cuba,CUB,981.42
165,Eswatini,SWZ,979.01
170,South Sudan,SSD,970.94
171,St Vincent and the Grenadines,VIN,968.27
172,Maldives,MDV,950.1
173,Andorra,AND,944.7
174,Chinese Taipei,TPE,923.78
175,Montserrat,MSR,916.75
176,Nepal,NEP,914.54
177,Cambodia,CAM,911.54
178,Mauritius,MRI,911.49
179,Barbados,BRB,909.89
180,Belize,BLZ,907.0
181,Bangladesh,BAN,899.53
182,Dominica,DMA,897.69
183,Chad,CHA,896.85
184,Eritrea,ERI,887.06
185,Laos,LAO,885.03
186,Bhutan,BHU,880.55
187,Mongolia,MNG,878.08
188,Cook Islands,COK,877.53
189,Aruba,ARU,877.3
190,Samoa,SAM,876.41
191,Sri Lanka,SRI,871.82
192,American Samoa,ASA,871.61
193,Brunei Darussalam,BRU,863.09
194,Macau,MAC,858.03
195,Cayman Islands,CAY,855.45
196,São Tomé and Príncipe,STP,855.44
197,Djibouti,DJI,853.58
198,Somalia,SOM,839.17
199,Tonga,TGA,835.64
200,Timor-Leste,TLS,825.64
201,Guam,GUM,825.43
202,Pakistan,PAK,824.6
203,Gibraltar,GIB,810.14
204,Seychelles,SEY,804.16
205,Turks and Caicos Islands,TCA,803.98
206,Liechtenstein,LIE,803.57
207,Bahamas,BAH,786.82
208,British Virgin Islands,VGB,782.14
209,US Virgin Islands,VIR,779.76
210,Anguilla,AIA,760.25
211,San Marino,SMR,726.33
231,Austria,AUT,1597.41
241,Ecuador,ECU,1596.48
281,Egypt,EGY,1565.56
291,Algeria,ALG,1564.26
441,Cameroon,CMR,1481.24
451,Tunisia,TUN,1479.09
511,Mali,MLI,1459.13
521,Costa Rica,CRC,1457.0
671,United Arab Emirates,UAE,1370.47
681,Cabo Verde,CPV,1369.3
692,North Macedonia,MKD,1369.16
731,Ghana,GHA,1346.88
741,Finland,FIN,1345.48
801,Montenegro,MNE,1300.36
811,Guinea,GUI,1300.01
821,Haiti,HAI,1296.61
831,Curaçao,CUW,1293.08
1361,Latvia,LVA,1090.57
1371,India,IND,1087.34
1421,Dominican Republic,DOM,1077.95
1431,Burundi,BDI,1077.66
1611,Antigua and Barbuda,ATG,986.58
1621,Malta,MLT,986.39
1663,Afghanistan,AFG,977.58
1671,Bermuda,BER,976.87
1681,St Lucia,LCA,976.71
1691,Papua New Guinea,PNG,974.9
