match_id,date,stage,group,home_team,away_team,stadium,city,country,altitude_m,neutral
1,2026-06-11,Group Stage,A,Mexico,South Africa,Estadio Azteca,Mexico City,Mexico,2240,True
2,2026-06-11,Group Stage,A,South Korea,Czechia,Estadio Akron,Guadalajara,Mexico,1566,True
3,2026-06-12,Group Stage,B,Canada,Bosnia and Herzegovina,BMO Field,Toronto,Canada,76,True
4,2026-06-12,Group Stage,D,USA,Paraguay,SoFi Stadium,Los Angeles,USA,75,True
5,2026-06-13,Group Stage,B,Qatar,Switzerland,Levi's Stadium,San Francisco,USA,22,True
6,2026-06-13,Group Stage,C,Brazil,Morocco,MetLife Stadium,New York/New Jersey,USA,5,True
7,2026-06-13,Group Stage,C,Haiti,Scotland,Gillette Stadium,Boston,USA,30,True
8,2026-06-13,Group Stage,D,Australia,Turkey,BC Place,Vancouver,Canada,5,True
9,2026-06-14,Group Stage,E,Germany,Curacao,NRG Stadium,Houston,USA,15,True
10,2026-06-14,Group Stage,F,Netherlands,Japan,AT&T Stadium,Dallas,USA,189,True
11,2026-06-14,Group Stage,E,Ivory Coast,Ecuador,Lincoln Financial Field,Philadelphia,USA,10,True
12,2026-06-14,Group Stage,F,Tunisia,Sweden,Estadio BBVA,Monterrey,Mexico,537,True
13,2026-06-15,Group Stage,H,Spain,Cape Verde,Mercedes-Benz Stadium,Atlanta,USA,320,True
14,2026-06-15,Group Stage,G,Belgium,Egypt,Lumen Field,Seattle,USA,8,True
15,2026-06-15,Group Stage,H,Saudi Arabia,Uruguay,Hard Rock Stadium,Miami,USA,3,True
16,2026-06-15,Group Stage,G,Iran,New Zealand,SoFi Stadium,Los Angeles,USA,75,True
17,2026-06-16,Group Stage,I,France,Senegal,MetLife Stadium,New York/New Jersey,USA,5,True
18,2026-06-16,Group Stage,I,Norway,Iraq,Gillette Stadium,Boston,USA,30,True
19,2026-06-16,Group Stage,J,Argentina,Algeria,Arrowhead Stadium,Kansas City,USA,274,True
20,2026-06-16,Group Stage,J,Austria,Jordan,Levi's Stadium,San Francisco,USA,22,True
21,2026-06-17,Group Stage,K,Portugal,DR Congo,NRG Stadium,Houston,USA,15,True
22,2026-06-17,Group Stage,L,England,Croatia,AT&T Stadium,Dallas,USA,189,True
23,2026-06-17,Group Stage,L,Ghana,Panama,BMO Field,Toronto,Canada,76,True
24,2026-06-17,Group Stage,K,Uzbekistan,Colombia,Estadio Azteca,Mexico City,Mexico,2240,True
25,2026-06-18,Group Stage,A,South Africa,Czechia,Mercedes-Benz Stadium,Atlanta,USA,320,True
26,2026-06-18,Group Stage,B,Switzerland,Bosnia and Herzegovina,SoFi Stadium,Los Angeles,USA,75,True
27,2026-06-18,Group Stage,B,Canada,Qatar,BC Place,Vancouver,Canada,5,True
28,2026-06-18,Group Stage,A,Mexico,South Korea,Estadio Akron,Guadalajara,Mexico,1566,True
