match_id,stage,group,date,home_team,away_team,home_goals,away_goals,decided_by,winner
1,Group Stage,A,2026-06-11,Mexico,South Africa,2,0,90min,
2,Group Stage,A,2026-06-12,South Korea,Czechia,2,1,90min,
3,Group Stage,B,2026-06-12,Canada,Bosnia and Herzegovina,1,1,90min,
4,Group Stage,D,2026-06-13,USA,Paraguay,4,1,90min,
5,Group Stage,B,2026-06-13,Qatar,Switzerland,1,1,90min,
6,Group Stage,C,2026-06-13,Brazil,Morocco,1,1,90min,
7,Group Stage,C,2026-06-14,Haiti,Scotland,0,1,90min,
8,Group Stage,D,2026-06-14,Australia,Turkey,2,0,90min,
9,Group Stage,E,2026-06-14,Germany,Curacao,7,1,90min,
10,Group Stage,F,2026-06-14,Netherlands,Japan,2,2,90min,
11,Group Stage,E,2026-06-14,Ivory Coast,Ecuador,1,0,90min,
12,Group Stage,F,2026-06-15,Sweden,Tunisia,5,1,90min,
13,Group Stage,H,2026-06-15,Spain,Cape Verde,0,0,90min,
14,Group Stage,G,2026-06-15,Belgium,Egypt,1,1,90min,
15,Group Stage,H,2026-06-15,Saudi Arabia,Uruguay,1,1,90min,
16,Group Stage,G,2026-06-16,Iran,New Zealand,2,2,90min,
17,Group Stage,I,2026-06-16,France,Senegal,3,1,90min,
18,Group Stage,I,2026-06-16,Iraq,Norway,1,4,90min,
19,Group Stage,J,2026-06-17,Argentina,Algeria,3,0,90min,
20,Group Stage,J,2026-06-17,Austria,Jordan,3,1,90min,
21,Group Stage,K,2026-06-17,Portugal,DR Congo,1,1,90min,
22,Group Stage,L,2026-06-17,England,Croatia,4,2,90min,
23,Group Stage,L,2026-06-17,Ghana,Panama,1,0,90min,
24,Group Stage,K,2026-06-18,Uzbekistan,Colombia,1,3,90min,
25,Group Stage,A,2026-06-18,Czechia,South Africa,1,1,90min,
26,Group Stage,B,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,90min,
27,Group Stage,B,2026-06-18,Canada,Qatar,6,0,90min,
28,Group Stage,A,2026-06-19,Mexico,South Korea,1,0,90min,
29,Group Stage,D,2026-06-19,USA,Australia,2,0,90min,
30,Group Stage,C,2026-06-19,Scotland,Morocco,0,1,90min,
31,Group Stage,C,2026-06-20,Brazil,Haiti,3,0,90min,
32,Group Stage,D,2026-06-20,Turkey,Paraguay,0,1,90min,
33,Group Stage,F,2026-06-20,Netherlands,Sweden,5,1,90min,
34,Group Stage,E,2026-06-20,Germany,Ivory Coast,2,1,90min,
35,Group Stage,E,2026-06-21,Ecuador,Curacao,0,0,90min,
36,Group Stage,F,2026-06-21,Tunisia,Japan,0,4,90min,
37,Group Stage,H,2026-06-21,Spain,Saudi Arabia,4,0,90min,
38,Group Stage,G,2026-06-21,Belgium,Iran,0,0,90min,
39,Group Stage,H,2026-06-21,Uruguay,Cape Verde,2,2,90min,
40,Group Stage,G,2026-06-22,New Zealand,Egypt,1,3,90min,
41,Group Stage,J,2026-06-22,Argentina,Austria,2,0,90min,
42,Group Stage,I,2026-06-22,France,Iraq,3,0,90min,
43,Group Stage,I,2026-06-23,Norway,Senegal,3,2,90min,
44,Group Stage,J,2026-06-23,Jordan,Algeria,1,2,90min,
45,Group Stage,K,2026-06-23,Portugal,Uzbekistan,5,0,90min,
46,Group Stage,L,2026-06-23,England,Ghana,0,0,90min,
47,Group Stage,L,2026-06-23,Panama,Croatia,0,1,90min,
48,Group Stage,K,2026-06-24,Colombia,DR Congo,1,0,90min,
