team,v3_winprob,v4_winprob,delta_pp
Panama,0.34826137904943355,0.30265947872418547,-4.560190032524808
Australia,0.4086433685131643,0.36621796869711015,-4.242539981605415
Iran,0.4379162898322257,0.3981652764102533,-3.9751013421972403
Ecuador,0.371340453058985,0.3352776873460203,-3.606276571296468
Uzbekistan,0.3146285681334119,0.28184338587038477,-3.2785182263027126
Korea Republic,0.43566342936897645,0.4037668174587135,-3.189661191026294
Colombia,0.37452639126131243,0.34815806424209134,-2.6368327019221094
Senegal,0.4111224142238103,0.3857102655436348,-2.5412148680175495
Canada,0.5301773703680066,0.5068734043136692,-2.3303966054337377
Iraq,0.2476973624740555,0.22463589851457846,-2.306146395947703
Croatia,0.3516070668533784,0.32963910099411514,-2.196796585926325
Japan,0.49104235054961914,0.4713033837159934,-1.9738966833625748
Jordan,0.266368175382739,0.24759087399369561,-1.8777301389043377
Tunisia,0.20247267809751993,0.18597951961325845,-1.6493158484261472
Qatar,0.2655887927864688,0.2508545519537207,-1.4734240832748102
South Africa,0.1550445065790983,0.14359209980738938,-1.1452406771708916
Saudi Arabia,0.3079691350220703,0.296696977640843,-1.1272157381227277
Paraguay,0.21849367322490917,0.2074727743019561,-1.1020898922953077
Haiti,0.20682656113201858,0.1959131482707984,-1.0913412861220189
Curaçao,0.17336899690336124,0.1637777800413272,-0.9591216862034041
Egypt,0.2146726500010866,0.20591414768023197,-0.8758502320854622
Mexico,0.5478103345060353,0.5426390615017441,-0.517127300429121
Cape Verde Islands,0.1300362175466799,0.12576049043583012,-0.4275727110849781
England,0.5460458776739915,0.5471084885116135,0.10626108376220467
Uruguay,0.3666794811545169,0.3702646938224872,0.358521266797035
Switzerland,0.4425920428662364,0.44735957784462865,0.4767534978392274
New Zealand,0.2996744481902161,0.3051733989823395,0.5498950792123425
Bosnia-Herzegovina,0.15505890113839846,0.1617614549944918,0.6702553856093335
Congo DR,0.1857038874237007,0.1934699840812224,0.7766096657521704
Algeria,0.3049436509316853,0.31754941782025625,1.2605766888570957
Argentina,0.5203184199236252,0.5349732628331331,1.4654842909507915
Scotland,0.18976361450588222,0.2051123004093187,1.5348685903436465
Morocco,0.4053894513041896,0.4214898689598261,1.6100417655636523
USA,0.4109485472714307,0.42893937941922017,1.799083214778946
Norway,0.25832934590689755,0.27750973936043377,1.9180393453536226
Sweden,0.1797008252602418,0.19948692216623423,1.9786096905992423
Ghana,0.1605365670065367,0.18264494365507286,2.2108376648536154
Germany,0.5139028078982676,0.5375988456476956,2.3696037749427967
Spain,0.6111302679297231,0.6395036028885598,2.837333495883665
Austria,0.2848439092140125,0.31397492144212874,2.913101222811626
Brazil,0.5146234267369522,0.5442653587579488,2.964193202099663
Netherlands,0.4525315051730021,0.4848203487408493,3.228884356784717
Côte d'Ivoire,0.3175607223892067,0.3523950227503679,3.4834300361161197
Portugal,0.47412972033698747,0.5128238755130384,3.8694155176050957
France,0.4772023848613614,0.5204984213585431,4.329603649718167
Czechia,0.2050327094119787,0.25091642833294864,4.588371892096993
Turkey,0.2868733804514522,0.3334685088942427,4.659512844279046
Belgium,0.32505100463727277,0.38168634183960687,5.66353372023341
